age,gender,city
50,m,nantes
32,f,lyon
5,m,paris
98,m,marseille
71,m,lille
88,f,nantes
19,m,paris
73,f,nantes
91,m,bordeaux
32,f,lille
93,m,lille
85,f,marseille
97,m,marseille
55,f,bordeaux
10,m,toulouse
15,m,toulouse
18,f,bordeaux
69,m,lille
95,m,marseille
94,m,lille
93,m,marseille
55,m,bordeaux
36,f,nantes
90,m,lyon
7,f,paris
11,m,paris
14,f,nantes
53,m,lyon
29,m,bordeaux
29,m,lyon
7,m,toulouse
85,f,toulouse
44,m,paris
62,f,nantes
70,f,toulouse
62,f,toulouse
97,m,bordeaux
46,m,lyon
38,m,nantes
36,f,paris
80,f,lyon
61,m,toulouse
29,m,nantes
67,f,marseille
96,f,lille
74,m,bordeaux
18,m,nantes
8,f,lyon
50,f,bordeaux
72,f,lille
70,f,lyon
48,m,lille
21,m,nantes
88,f,lyon
5,m,nantes
87,f,lille
37,m,bordeaux
31,f,toulouse
60,m,lyon
98,m,lille
71,f,paris
27,m,lille
84,m,marseille
64,f,bordeaux
45,f,marseille
93,f,marseille
30,f,toulouse
77,f,toulouse
30,m,nantes
51,m,marseille
53,m,lyon
81,f,marseille
73,f,toulouse
41,f,lille
99,f,paris
14,f,toulouse
99,m,marseille
37,m,toulouse
7,f,toulouse
75,f,toulouse
52,f,toulouse
57,f,lille
27,m,lyon
26,m,lyon
22,m,paris
43,f,lille
25,f,lille
20,m,lille
57,m,lyon
91,f,marseille
47,m,bordeaux
43,f,lille
62,m,bordeaux
37,f,paris
98,m,lyon
5,m,bordeaux
64,m,lille
80,f,bordeaux
10,f,paris
24,f,lille
8,f,marseille
71,f,bordeaux
47,m,nantes
11,m,nantes
87,m,paris
28,m,lyon
48,m,lille
69,f,paris
48,f,lille
11,m,paris
43,m,nantes
86,m,lyon
80,m,lyon
30,f,lille
10,m,lille
92,m,lyon
73,m,lyon
94,m,paris
75,m,bordeaux
49,m,nantes
48,f,lille
34,m,lille
86,f,marseille
5,m,lyon
59,f,bordeaux
43,m,nantes
71,f,toulouse
93,m,bordeaux
21,m,toulouse
14,m,paris
60,f,nantes
90,m,nantes
48,m,nantes
7,f,toulouse
71,m,paris
78,m,paris
47,m,lille
89,m,toulouse
41,f,lille
62,f,nantes
65,m,bordeaux
82,m,marseille
24,f,paris
5,m,marseille
35,f,nantes
34,m,bordeaux
68,m,marseille
89,m,marseille
33,f,paris
23,f,bordeaux
9,m,bordeaux
69,m,bordeaux
47,m,nantes
29,f,paris
63,f,bordeaux
14,m,toulouse
85,m,nantes
78,f,toulouse
59,m,bordeaux
19,f,toulouse
32,m,marseille
19,m,lyon
28,m,lyon
75,m,nantes
52,m,bordeaux
16,f,lyon
17,m,bordeaux
41,f,nantes
55,f,nantes
94,f,bordeaux
76,f,lyon
55,m,marseille
49,f,marseille
98,f,marseille
92,m,bordeaux
45,f,nantes
97,m,bordeaux
52,f,lyon
51,m,marseille
52,m,nantes
34,m,paris
89,m,marseille
79,m,toulouse
53,m,marseille
20,f,marseille
51,m,nantes
97,f,bordeaux
12,m,lyon
20,m,lille
69,f,lyon
100,f,lyon
64,f,bordeaux
63,f,paris
35,m,nantes
33,f,lyon
56,f,toulouse
19,m,paris
87,f,toulouse
54,m,lille
32,m,lille
23,m,lille
13,f,lille
57,f,marseille
72,m,marseille
35,m,nantes
94,f,lyon
98,m,bordeaux
30,m,lyon
62,m,toulouse
83,f,lyon
90,m,paris
70,f,toulouse
8,m,toulouse
49,m,paris
36,m,paris
62,m,lille
89,f,lille
63,m,lille
5,f,paris
10,f,lyon
99,m,lille
43,m,bordeaux
79,m,paris
13,m,lyon
66,f,lyon
27,m,bordeaux
71,f,nantes
34,m,toulouse
70,f,bordeaux
72,m,bordeaux
5,m,marseille
99,m,toulouse
80,m,nantes
38,f,paris
78,m,nantes
22,f,lyon
14,m,lyon
67,m,bordeaux
80,f,marseille
69,f,marseille
44,f,lille
34,m,nantes
96,f,lyon
90,f,toulouse
40,f,nantes
85,f,paris
77,m,paris
59,f,lyon
58,m,bordeaux
79,m,marseille
92,f,paris
19,f,paris
28,m,lyon
60,m,nantes
33,m,nantes
80,f,marseille
92,m,lille
52,f,marseille
34,f,nantes
59,f,nantes
6,f,lyon
47,f,lyon
9,f,toulouse
61,f,paris
67,f,nantes
63,f,bordeaux
60,m,bordeaux
18,m,bordeaux
24,m,nantes
37,m,lyon
31,f,marseille
55,m,bordeaux
21,f,toulouse
79,f,bordeaux
95,m,bordeaux
65,m,lille
69,m,toulouse
47,m,toulouse
67,m,lille
32,m,toulouse
72,m,marseille
26,m,lille
99,m,lille
57,f,lille
15,m,lyon
5,m,lille
23,m,lille
32,m,toulouse
44,m,paris
34,f,lyon
40,m,lille
83,m,lyon
50,m,marseille
82,m,paris
100,m,bordeaux
16,f,paris
89,f,bordeaux
27,m,toulouse
93,m,marseille
68,m,paris
80,m,lyon
55,m,lyon
27,f,lille
91,f,nantes
85,m,lyon
85,m,bordeaux
53,f,lyon
90,f,paris
11,f,lyon
32,m,lille
14,m,paris
42,f,bordeaux
93,f,marseille
85,m,lille
45,f,lille
93,m,bordeaux
99,m,toulouse
89,m,toulouse
57,f,lille
24,m,toulouse
39,f,paris
82,f,toulouse
37,m,marseille
6,f,lille
21,f,bordeaux
51,f,nantes
10,m,lille
9,m,lille
59,m,bordeaux
14,m,nantes
71,f,marseille
77,f,nantes
100,f,bordeaux
27,f,marseille
76,f,lyon
56,f,lille
51,m,paris
16,m,lyon
34,m,lyon
68,f,lyon
22,m,toulouse
42,m,lyon
98,m,marseille
59,m,paris
99,m,paris
37,f,marseille
94,m,toulouse
38,f,bordeaux
88,f,paris
78,f,bordeaux
48,m,marseille
45,f,lyon
11,f,nantes
66,f,bordeaux
60,f,bordeaux
89,f,paris
18,f,lille
82,m,bordeaux
11,m,lille
59,m,lyon
51,f,nantes
42,m,lyon
12,m,toulouse
59,m,nantes
48,m,marseille
63,f,lille
77,m,nantes
80,m,bordeaux
48,m,marseille
30,m,toulouse
40,f,lyon
46,f,lille
18,f,lille
43,f,paris
47,m,nantes
67,m,nantes
40,m,toulouse
27,m,nantes
64,m,bordeaux
73,m,toulouse
60,m,lyon
57,f,marseille
70,f,bordeaux
100,m,paris
11,f,paris
53,m,bordeaux
48,m,marseille
14,m,lyon
32,m,paris
75,f,marseille
73,m,lille
73,m,paris
65,m,lille
59,m,lyon
67,f,marseille
13,f,nantes
84,f,nantes
65,m,paris
34,f,lille
78,f,lyon
82,f,nantes
31,m,bordeaux
58,f,bordeaux
62,m,bordeaux
61,f,lille
11,f,nantes
17,f,lyon
14,f,bordeaux
24,f,lyon
36,f,paris
74,m,toulouse
82,m,lille
15,m,paris
28,f,bordeaux
80,m,lille
75,m,marseille
74,m,lille
16,f,lyon
36,f,nantes
77,f,paris
44,f,lille
86,f,marseille
19,m,lille
64,m,lille
58,m,lyon
46,f,paris
15,m,lille
54,f,toulouse
31,f,paris
36,f,marseille
60,m,lille
45,m,marseille
81,m,bordeaux
42,f,bordeaux
14,m,marseille
5,m,toulouse
55,f,marseille
19,f,paris
95,m,paris
46,f,toulouse
67,m,bordeaux
17,m,lille
13,m,bordeaux
20,f,lyon
59,m,marseille
59,f,toulouse
100,f,lyon
32,f,paris
98,m,bordeaux
69,m,paris
70,m,bordeaux
72,m,bordeaux
55,m,lyon
73,m,paris
99,m,paris
81,f,lille
30,f,bordeaux
97,f,toulouse
66,f,lyon
90,f,lyon
55,f,bordeaux
32,f,paris
15,m,nantes
22,f,toulouse
52,f,marseille
29,m,nantes
32,m,toulouse
41,m,paris
46,f,lille
50,f,bordeaux
63,f,bordeaux
50,m,bordeaux
56,f,lyon
85,f,marseille
15,m,bordeaux
79,m,toulouse
83,m,bordeaux
97,m,lille
23,m,lille
79,m,lille
6,m,lille
83,f,bordeaux
15,m,toulouse
94,f,toulouse
43,f,paris
62,f,marseille
54,m,paris
13,f,paris
20,m,bordeaux
61,f,lille
75,f,toulouse
58,f,paris
32,m,marseille
50,m,bordeaux
25,m,marseille
60,f,toulouse
98,f,paris
84,f,marseille
76,f,marseille
75,f,paris
88,m,lyon
83,f,nantes
33,f,lyon
40,m,nantes
63,m,nantes
86,f,bordeaux
36,m,bordeaux
14,f,bordeaux
88,m,marseille
8,f,lille
40,m,paris
21,f,marseille
23,f,lille
64,m,bordeaux
7,f,marseille
79,f,toulouse
99,m,paris
45,m,lyon
28,m,paris
76,f,marseille
61,m,bordeaux
72,f,lille
26,m,toulouse
50,m,marseille
78,m,marseille
41,f,marseille
56,m,toulouse
58,f,toulouse
94,m,bordeaux
18,m,bordeaux
92,m,nantes
67,m,lille
59,m,bordeaux
52,m,paris
62,m,marseille
67,f,nantes
14,f,lille
73,m,nantes
79,f,lyon
64,m,toulouse
34,f,lille
39,m,lille
26,f,lyon
69,f,bordeaux
30,m,toulouse
35,f,toulouse
72,m,bordeaux
52,m,paris
8,m,paris
6,m,bordeaux
75,m,bordeaux
43,m,paris
80,m,paris
38,m,paris
97,f,toulouse
83,f,toulouse
100,m,lille
70,f,lille
84,f,paris
97,m,nantes
29,m,toulouse
76,m,bordeaux
92,f,marseille
14,f,bordeaux
52,f,marseille
66,f,lyon
51,m,nantes
80,f,nantes
52,f,lyon
72,f,nantes
23,f,paris
18,f,nantes
23,f,toulouse
68,m,toulouse
39,m,paris
76,m,marseille
87,m,marseille
100,m,nantes
61,f,lille
57,m,nantes
62,m,lille
55,m,bordeaux
66,m,bordeaux
27,m,lille
16,f,nantes
67,m,toulouse
69,f,bordeaux
12,f,lille
30,m,toulouse
92,f,lyon
14,m,nantes
56,f,paris
27,f,lyon
63,f,nantes
80,f,marseille
55,m,marseille
72,f,paris
67,f,bordeaux
72,f,paris
47,m,nantes
95,m,toulouse
14,f,paris
33,m,bordeaux
91,m,nantes
66,f,bordeaux
61,m,lille
84,f,bordeaux
5,m,toulouse
51,f,bordeaux
14,m,paris
40,m,bordeaux
95,m,lille
57,m,nantes
20,f,lille
6,f,bordeaux
71,m,toulouse
27,m,lyon
15,f,paris
78,f,lille
71,f,lille
15,m,bordeaux
52,f,toulouse
9,m,bordeaux
77,m,nantes
25,m,lille
20,m,nantes
20,f,toulouse
18,f,nantes
48,m,nantes
69,m,toulouse
93,m,toulouse
34,f,toulouse
63,m,bordeaux
57,f,lille
38,m,marseille
60,m,bordeaux
83,f,lyon
29,m,lyon
12,m,marseille
19,f,nantes
20,m,toulouse
59,m,paris
20,f,marseille
48,f,paris
85,m,toulouse
68,m,marseille
89,f,nantes
60,f,bordeaux
86,f,nantes
83,f,bordeaux
37,m,nantes
19,m,nantes
55,f,lyon
37,f,lyon
14,m,nantes
32,f,nantes
93,m,nantes
52,f,marseille
84,m,bordeaux
27,f,toulouse
14,f,toulouse
83,m,nantes
39,f,lille
6,m,lille
94,m,toulouse
35,f,bordeaux
97,m,paris
66,f,paris
14,f,paris
18,f,paris
8,m,lyon
94,f,toulouse
50,f,toulouse
100,f,nantes
56,f,paris
89,f,lyon
36,m,paris
17,f,bordeaux
5,f,lille
68,f,lille
70,f,bordeaux
44,f,bordeaux
34,f,nantes
17,m,toulouse
67,m,nantes
53,m,lyon
32,f,marseille
59,m,toulouse
77,m,lille
60,f,lille
41,f,marseille
79,f,toulouse
60,m,bordeaux
5,f,lille
6,f,lyon
23,f,lille
51,f,paris
9,m,paris
97,f,lille
28,m,toulouse
47,f,lyon
44,f,toulouse
69,m,marseille
62,m,lille
88,m,paris
92,m,bordeaux
28,f,bordeaux
75,f,lyon
49,m,lyon
84,f,marseille
24,m,toulouse
14,m,nantes
12,f,bordeaux
63,f,lyon
20,m,lyon
35,m,marseille
96,m,paris
77,f,lille
68,f,nantes
9,m,marseille
82,m,marseille
60,f,marseille
36,f,marseille
50,f,marseille
40,f,lille
69,f,marseille
38,m,lyon
13,m,lyon
34,m,nantes
59,f,marseille
17,f,marseille
33,f,marseille
72,m,bordeaux
6,m,toulouse
82,m,lille
93,m,toulouse
29,m,bordeaux
12,f,lille
25,f,nantes
66,f,bordeaux
25,m,lille
91,f,nantes
23,f,nantes
31,f,toulouse
11,f,paris
99,f,nantes
74,f,lille
95,m,lille
56,m,nantes
60,f,lyon
66,m,lille
93,f,marseille
87,m,lyon
37,f,toulouse
55,f,nantes
28,f,lille
65,m,nantes
63,m,paris
8,m,lille
8,f,lyon
88,m,marseille
73,f,lille
14,m,toulouse
26,f,toulouse
85,f,lyon
43,m,marseille
29,f,toulouse
64,m,nantes
37,m,bordeaux
64,f,nantes
6,m,toulouse
46,m,paris
44,f,lyon
42,m,lyon
51,m,toulouse
27,m,toulouse
42,m,lille
68,m,nantes
40,m,lyon
10,f,lyon
84,m,bordeaux
34,f,lille
39,m,paris
81,m,paris
77,m,lille
63,m,toulouse
62,f,lyon
10,f,marseille
56,m,paris
43,f,paris
24,m,paris
37,f,lyon
28,f,lille
46,f,nantes
66,m,bordeaux
6,f,marseille
22,m,bordeaux
65,m,bordeaux
77,m,nantes
82,f,lyon
40,m,lyon
43,f,marseille
58,f,marseille
23,m,bordeaux
11,f,toulouse
74,m,bordeaux
95,f,nantes
39,m,marseille
89,m,lyon
27,m,lille
38,f,lille
76,f,marseille
17,m,nantes
18,f,nantes
36,m,bordeaux
32,f,bordeaux
35,m,paris
63,f,marseille
28,f,bordeaux
63,f,toulouse
16,f,marseille
50,f,lyon
84,m,lille
83,f,marseille
9,m,marseille
15,f,nantes
32,m,bordeaux
21,f,lille
80,f,toulouse
80,f,nantes
30,m,paris
16,f,nantes
39,f,lyon
92,f,toulouse
60,m,nantes
48,m,bordeaux
43,m,toulouse
6,f,marseille
64,m,nantes
69,m,marseille
88,f,lille
90,m,paris
28,f,nantes
50,m,paris
79,m,lyon
84,m,lille
20,f,toulouse
69,f,paris
91,m,marseille
67,f,lyon
58,m,bordeaux
15,m,lyon
78,f,bordeaux
42,m,toulouse
81,m,marseille
32,f,bordeaux
68,m,paris
40,m,lyon
72,m,nantes
32,m,bordeaux
94,f,paris
98,f,marseille
6,m,marseille
28,f,marseille
28,m,bordeaux
7,m,lyon
48,f,paris
39,m,bordeaux
70,f,paris
20,f,bordeaux
99,m,lille
24,m,lyon
97,f,paris
20,f,lille
84,f,marseille
55,f,bordeaux
95,m,lyon
45,m,nantes
78,m,bordeaux
86,m,nantes
12,m,toulouse
87,f,lyon
17,f,marseille
34,f,lyon
43,f,lille
29,m,bordeaux
68,f,nantes
91,f,lille
98,m,bordeaux
63,f,toulouse
65,f,bordeaux
93,f,marseille
53,f,marseille
64,f,bordeaux
77,f,nantes
79,m,toulouse
18,f,nantes
73,m,toulouse
44,f,lyon
34,f,paris
7,f,bordeaux
9,m,marseille
35,m,marseille
54,m,nantes
30,m,lyon
86,m,paris
91,m,lyon
75,m,bordeaux
94,f,nantes
67,m,paris
18,f,paris
16,m,marseille
88,f,bordeaux
99,m,lyon
64,m,marseille
67,m,lille
70,f,bordeaux
19,m,paris
33,m,paris
79,m,bordeaux
17,f,nantes
71,f,bordeaux
24,m,lille
82,f,bordeaux
40,f,marseille
54,m,lyon
93,m,marseille
76,m,bordeaux
22,f,bordeaux
49,f,nantes
10,m,nantes
36,m,paris
69,f,nantes
12,f,lille
40,m,lyon
94,m,toulouse
34,m,lille
68,m,nantes
19,f,toulouse
65,m,toulouse
76,f,marseille
31,m,nantes
27,m,marseille
65,f,bordeaux
55,m,lyon
69,m,nantes
52,m,lille
61,f,bordeaux
84,m,toulouse
40,f,marseille
63,m,lille
94,f,bordeaux
32,m,toulouse
87,m,bordeaux
21,f,toulouse
28,m,paris
41,f,paris
60,m,lyon
95,f,bordeaux
53,f,paris
14,f,marseille
19,m,lille
36,m,bordeaux
52,m,nantes
85,m,marseille
92,m,paris
72,f,paris
61,f,toulouse
65,m,paris
5,f,marseille
13,m,marseille
37,f,marseille
26,f,marseille
12,f,toulouse
53,m,marseille
33,f,lille
68,f,paris
81,f,paris
46,m,bordeaux
50,f,marseille
11,f,lille
63,f,paris
44,m,bordeaux
35,m,lyon
61,m,toulouse
64,f,lille
32,m,paris
27,f,marseille
85,m,bordeaux
21,m,nantes
60,m,nantes
95,m,toulouse
80,f,bordeaux
87,m,lyon
32,f,toulouse
85,m,paris
27,f,marseille
43,m,bordeaux
16,m,toulouse
39,m,marseille
96,f,lyon
11,f,lyon
96,m,bordeaux
25,f,lyon
83,f,bordeaux
74,m,lyon
76,f,bordeaux
24,m,toulouse
84,m,nantes
72,m,paris
78,f,paris
13,m,lille
42,f,lyon
47,f,marseille
94,f,bordeaux
10,m,lyon
11,f,lyon
12,m,toulouse
71,m,paris
48,f,nantes
35,f,lille
13,f,paris
95,f,marseille
45,m,lille
100,m,marseille
44,m,bordeaux
25,m,nantes
83,f,toulouse
19,f,lyon
13,f,lyon
73,f,bordeaux
75,f,paris
78,f,nantes
97,f,nantes
68,m,lyon
59,m,nantes
99,f,marseille
56,m,lille
51,m,paris
34,m,lyon
13,m,bordeaux
24,f,toulouse
51,f,lille
8,f,lille
95,f,lyon
52,m,marseille
50,f,lille
44,f,toulouse
37,m,marseille
30,f,lyon
5,f,marseille
27,m,toulouse
13,f,toulouse
5,m,toulouse
45,m,marseille
45,m,nantes
99,f,toulouse
42,f,lille
71,f,paris
92,f,marseille
83,m,marseille
47,m,bordeaux
99,f,bordeaux
16,m,toulouse
46,f,toulouse
52,f,bordeaux
99,m,paris
28,f,lyon
21,m,bordeaux
89,m,lille
68,m,marseille
47,m,nantes
86,m,paris
5,m,nantes
32,f,lyon
30,m,nantes
37,m,toulouse
48,f,lyon
100,f,nantes
97,m,paris
19,f,lille
72,f,nantes
97,f,toulouse
88,f,nantes
29,f,marseille
18,f,paris
22,m,lille
80,f,lyon
91,f,bordeaux
89,m,lille
27,m,nantes
52,m,lille
18,f,paris
9,m,paris
19,f,toulouse
36,m,marseille
77,f,lille
42,m,marseille
85,m,paris
89,m,paris
88,m,marseille
76,m,marseille
16,f,nantes
97,m,lyon
24,m,marseille
48,f,paris
42,f,nantes
93,m,marseille
84,f,lille
94,m,bordeaux
84,m,marseille
21,f,paris
86,m,nantes
73,f,nantes
16,f,bordeaux
95,f,lyon
15,f,bordeaux
66,f,toulouse
23,f,bordeaux
39,m,lille
24,f,lyon
66,f,paris
27,f,bordeaux
96,f,paris
11,m,lyon
16,f,lyon
48,m,nantes
63,f,lyon
93,m,lille
98,m,toulouse
42,f,lyon
62,f,nantes
70,f,lille
14,m,paris
55,m,marseille
56,f,marseille
13,m,marseille
76,m,nantes
56,m,marseille
38,f,marseille
27,f,nantes
45,m,paris
68,m,marseille
32,m,paris
8,f,lyon
31,f,lille
17,m,toulouse
51,f,nantes
35,f,nantes
83,m,nantes
51,m,nantes
78,m,paris
88,f,lyon
28,m,nantes
30,f,nantes
32,f,toulouse
21,f,toulouse
17,m,nantes
83,m,marseille
73,f,nantes
90,f,bordeaux
79,f,lille
21,f,lyon
15,f,bordeaux
29,f,toulouse
34,m,toulouse
35,f,toulouse
56,f,paris
22,m,nantes
33,m,paris
92,m,lyon
98,f,bordeaux
68,f,toulouse
7,m,bordeaux
13,f,paris
78,m,bordeaux
65,m,lyon
48,m,bordeaux
43,m,lille
7,f,toulouse
21,m,lyon
59,f,nantes
31,m,lille
52,m,toulouse
10,f,paris
58,m,bordeaux
75,f,toulouse
77,f,nantes
21,m,nantes
24,m,bordeaux
46,m,toulouse
49,f,lyon
83,f,toulouse
16,m,nantes
47,f,lille
100,m,lyon
16,m,lille
76,m,toulouse
99,m,toulouse
8,m,toulouse
43,f,lille
65,m,paris
11,f,paris
77,m,marseille
84,m,nantes
56,m,toulouse
49,m,lyon
9,f,marseille
87,f,lyon
87,f,paris
74,f,marseille
80,m,lyon
25,f,toulouse
39,f,marseille
48,f,lyon
95,f,lyon
58,m,toulouse
30,m,marseille
63,m,toulouse
5,m,paris
62,f,paris
24,f,nantes
81,m,toulouse
40,m,nantes
74,f,nantes
31,m,marseille
21,m,toulouse
79,m,nantes
36,m,toulouse
26,f,bordeaux
80,m,paris
71,m,toulouse
58,f,marseille
89,m,nantes
9,f,paris
23,m,marseille
37,f,nantes
60,m,nantes
14,m,lille
25,m,toulouse
27,f,paris
40,m,paris
49,f,lille
78,f,lyon
29,m,paris
93,f,lyon
83,f,marseille
99,f,marseille
33,m,bordeaux
60,m,paris
47,m,nantes
91,m,paris
26,f,toulouse
60,f,lille
16,f,lille
95,f,bordeaux
39,m,lille
90,f,marseille
95,m,paris
100,m,lille
21,f,marseille
78,f,lyon
9,m,marseille
96,f,paris
58,f,bordeaux
31,f,paris
40,m,paris
59,f,toulouse
88,m,nantes
80,m,paris
27,m,lyon
77,m,toulouse
28,f,bordeaux
82,f,nantes
97,m,paris
17,m,bordeaux
80,f,paris
77,m,toulouse
15,m,lyon
47,f,nantes
88,m,paris
71,m,lille
61,m,toulouse
17,m,lille
23,f,lyon
15,m,toulouse
28,f,lille
29,f,marseille
35,m,toulouse
88,m,lille
97,m,paris
15,m,lille
99,f,bordeaux
47,f,paris
84,f,marseille
33,f,nantes
9,f,toulouse
69,f,toulouse
13,m,lyon
21,m,bordeaux
66,m,lyon
35,m,lyon
83,m,paris
57,m,marseille
55,m,nantes
46,f,marseille
35,f,paris
64,f,toulouse
10,f,paris
46,f,toulouse
52,f,nantes
56,f,bordeaux
93,m,lyon
40,f,marseille
48,f,toulouse
72,f,marseille
18,m,marseille
12,f,toulouse
96,f,lille
43,f,bordeaux
15,m,lyon
34,f,lyon
44,f,lille
62,f,marseille
74,m,lyon
8,f,bordeaux
71,m,bordeaux
92,f,bordeaux
5,m,bordeaux
86,f,nantes
23,m,lyon
88,f,paris
86,m,marseille
66,f,marseille
36,m,lille
